"Treatment","Block","Repetition","Fruits","Average Weight","Average Weight of Fruits"
"Control",1,1,"36","4673.7999999999993","129.82777777777775"
"Control",1,2,"31","3681","118.74193548387096"
"Control",1,3,"31","3465.9","111.80322580645162"
"Control",2,1,"26","3471.9216000000001","133.53544615384615"
"Control",2,2,"29","5434.6","187.4"
"Control",2,3,"34","4069.7686999999996","119.6990794117647"
"Control",3,1,"35","4512.6899999999996","128.934"
"Control",3,2,"38","4998.8000000000011","131.54736842105265"
"Control",3,3,"34","4431","130.3235294117647"
"Control",4,1,"29","3885.3","133.97586206896551"
"Control",4,2,"33","3925.6","118.95757575757575"
"Control",4,3,"27","3062.1","113.41111111111111"
"Control",5,1,"29","4017.7999999999997","138.54482758620688"
"Control",5,2,"35","4425.3999999999996","126.43999999999998"
"Control",5,3,"42","5127.46","122.08238095238096"
"EXAm",1,1,"47","5900.1","125.5340425531915"
"EXAm",1,2,"35","4811.9400000000005","137.48400000000001"
"EXAm",1,3,"29","4329.3","149.28620689655173"
"EXAm",2,1,"31","4505.5999999999995","145.34193548387094"
"EXAm",2,2,"35","4934.8999999999996","140.99714285714285"
"EXAm",2,3,"42","5939.0999999999995","141.40714285714284"
"EXAm",3,1,"34","4579.8999999999996","134.70294117647057"
"EXAm",3,2,"40","5403.9000000000005","135.09750000000003"
"EXAm",3,3,"36","6352.7000000000007","176.4638888888889"
"EXAm",4,1,"35","5134.3999999999996","146.69714285714284"
"EXAm",4,2,"46","6231.2","135.46086956521739"
"EXAm",4,3,"41","5619.9135200000001","137.07106146341462"
"EXAm",5,1,"35","5449.3","155.69428571428571"
"EXAm",5,2,"43","6475.1000000000013","150.5837209302326"
"EXAm",5,3,"43","5644.3","131.26279069767443"
"Infes",1,1,"30","3879.0999999999995","129.30333333333331"
"Infes",1,2,"35","4348.6000000000004","124.2457142857143"
"Infes",1,3,"30","4164.7","138.82333333333332"
"Infes",2,1,"28","4488.2","160.29285714285714"
"Infes",2,2,"36","3018.5","83.847222222222229"
"Infes",2,3,"29","3948.5","136.15517241379311"
"Infes",3,1,"25","3025","121"
"Infes",3,2,"32","4031.3999999999996","125.98124999999999"
"Infes",3,3,"28","3215.9","114.85357142857143"
"Infes",4,1,"28","3339.1","119.25357142857142"
"Infes",4,2,"24","3124.4","130.18333333333334"
"Infes",4,3,"23","3382.2","147.05217391304348"
"Infes",5,1,"31","4344.3999999999996","140.14193548387095"
"Infes",5,2,"30","3755.6","125.18666666666667"
"Infes",5,3,"32","3564.3","111.38437500000001"
"Infes+EXAm",1,1,"44","5857.8","133.13181818181818"
"Infes+EXAm",1,2,"37","6279.08","169.70486486486487"
"Infes+EXAm",1,3,"33","4475.7000000000007","135.62727272727275"
"Infes+EXAm",2,1,"38","5261.1999999999989","138.45263157894735"
"Infes+EXAm",2,2,"33","4039.0000000000005","122.39393939393941"
"Infes+EXAm",2,3,"43","4450","103.48837209302326"
"Infes+EXAm",3,1,"27","4268.2300000000005","158.08259259259262"
"Infes+EXAm",3,2,"37","6768.8","182.94054054054055"
"Infes+EXAm",3,3,"33","3433.2999999999997","104.03939393939393"
"Infes+EXAm",4,1,"29","3647.6450000000004","125.78086206896553"
"Infes+EXAm",4,2,"27","3432.3","127.12222222222223"
"Infes+EXAm",4,3,"30","3481.6217999999999","116.05405999999999"
"Infes+EXAm",5,1,"43","5451.7999999999993","126.78604651162789"
"Infes+EXAm",5,2,"41","4884.7999999999993","119.14146341463413"
"Infes+EXAm",5,3,"37","4974.2","134.43783783783783"
"Infes+Captan",1,1,"36","4501.5","125.04166666666667"
"Infes+Captan",1,2,"32","3859.3","120.60312500000001"
"Infes+Captan",1,3,"19","2314.4","121.81052631578947"
"Infes+Captan",2,1,"36","5973.0999999999995","165.91944444444442"
"Infes+Captan",2,2,"29","3751.7099999999996","129.36931034482757"
"Infes+Captan",2,3,"43","5449.0999999999995","126.72325581395347"
"Infes+Captan",3,1,"27","3250.7136","120.3968"
"Infes+Captan",3,2,"30","4073.6","135.78666666666666"
"Infes+Captan",3,3,"23","2829.7999999999997","123.03478260869564"
"Infes+Captan",4,1,"38","4605.8","121.20526315789475"
"Infes+Captan",4,2,"35","4128.1000000000004","117.9457142857143"
"Infes+Captan",4,3,"29","2868.3500000000004","98.90862068965518"
"Infes+Captan",5,1,"33","4051.9000000000005","122.7848484848485"
"Infes+Captan",5,2,"39","7016.9999999999991","179.92307692307691"
"Infes+Captan",5,3,"29","4319.3","148.94137931034484"
