"Treatment","Clusters","Block","Repetition","Yield","Number_of_Fruits"
"Control","Cluster1",1,"1","556.9","4"
"Control","Cluster2",1,"1","1239.9000000000001","10"
"Control","Cluster3",1,"1","1138.5999999999999","8"
"Control","Cluster4",1,"1","0","0"
"Control","Cluster5",1,"1","799.3","7"
"Control","Cluster6",1,"1","620.4","4"
"Control","Cluster1",1,"2","0","0"
"Control","Cluster2",1,"2","850.9","7"
"Control","Cluster3",1,"2","928.49999999999989","10"
"Control","Cluster4",1,"2","0","0"
"Control","Cluster5",1,"2","1209.6000000000001","8"
"Control","Cluster6",1,"2","692","6"
"Control","Cluster1",1,"3","604.4","6"
"Control","Cluster2",1,"3","1377","10"
"Control","Cluster3",1,"3","760.1","8"
"Control","Cluster4",1,"3","0","0"
"Control","Cluster5",1,"3","545.4","5"
"Control","Cluster6",1,"3","112.3","1"
"Control","Cluster1",2,"1","435.2","4"
"Control","Cluster2",2,"1","1291.8216000000002","10"
"Control","Cluster3",2,"1","828.9","5"
"Control","Cluster4",2,"1","916","6"
"Control","Cluster5",2,"1","0","0"
"Control","Cluster6",2,"1","0","0"
"Control","Cluster1",2,"2","374.09999999999997","4"
"Control","Cluster2",2,"2","1233.2","10"
"Control","Cluster3",2,"2","2649.8999999999996","6"
"Control","Cluster4",2,"2","815.1","6"
"Control","Cluster5",2,"2","261.29999999999995","3"
"Control","Cluster6",2,"2","0","0"
"Control","Cluster1",2,"3","629.70000000000005","6"
"Control","Cluster2",2,"3","1219.97","10"
"Control","Cluster3",2,"3","1237.8987","9"
"Control","Cluster4",2,"3","0","0"
"Control","Cluster5",2,"3","982.2","9"
"Control","Cluster6",2,"3","0","0"
"Control","Cluster1",3,"1","771.30000000000007","7"
"Control","Cluster2",3,"1","1261.0899999999999","11"
"Control","Cluster3",3,"1","1100.1000000000001","8"
"Control","Cluster4",3,"1","946.69999999999993","6"
"Control","Cluster5",3,"1","433.5","3"
"Control","Cluster6",3,"1","0","0"
"Control","Cluster1",3,"2","906.5","8"
"Control","Cluster2",3,"2","1138.2","8"
"Control","Cluster3",3,"2","0","0"
"Control","Cluster4",3,"2","764.6","6"
"Control","Cluster5",3,"2","792.40000000000009","7"
"Control","Cluster6",3,"2","0","0"
"Control","Cluster1",3,"3","919.40000000000009","7"
"Control","Cluster2",3,"3","977.4","9"
"Control","Cluster3",3,"3","889.8","5"
"Control","Cluster4",3,"3","960","6"
"Control","Cluster5",3,"3","684.40000000000009","7"
"Control","Cluster6",3,"3","0","0"
"Control","Cluster1",4,"1","827.3","7"
"Control","Cluster2",4,"1","903.7","9"
"Control","Cluster3",4,"1","1050.3","6"
"Control","Cluster4",4,"1","371.9","2"
"Control","Cluster5",4,"1","732.10000000000014","5"
"Control","Cluster6",4,"1","0","0"
"Control","Cluster1",4,"2","897.19999999999982","7"
"Control","Cluster2",4,"2","885.80000000000007","9"
"Control","Cluster3",4,"2","712.4","6"
"Control","Cluster4",4,"2","0","0"
"Control","Cluster5",4,"2","874.8","7"
"Control","Cluster6",4,"2","555.4","4"
"Control","Cluster1",4,"3","867","8"
"Control","Cluster2",4,"3","935.8","8"
"Control","Cluster3",4,"3","0","0"
"Control","Cluster4",4,"3","0","0"
"Control","Cluster5",4,"3","804.19999999999993","7"
"Control","Cluster6",4,"3","455.1","4"
"Control","Cluster1",5,"1","815.80000000000007","7"
"Control","Cluster2",5,"1","560.4","4"
"Control","Cluster3",5,"1","1095","8"
"Control","Cluster4",5,"1","777","6"
"Control","Cluster5",5,"1","0","0"
"Control","Cluster6",5,"1","769.59999999999991","4"
"Control","Cluster1",5,"2","953.80000000000007","7"
"Control","Cluster2",5,"2","864.60000000000014","9"
"Control","Cluster3",5,"2","1155.3","8"
"Control","Cluster4",5,"2","771","6"
"Control","Cluster5",5,"2","680.69999999999993","5"
"Control","Cluster6",5,"2","0","0"
"Control","Cluster1",5,"3","942.90000000000009","10"
