"Treatment","Block","Stem diameter","Aereal dry weight","Root dry weight"
"Control",1,18.3533333333333,669,182
"Control",2,20.5733333333333,611,274
"Control",3,19.8933333333333,537,227
"Control",4,20.3966666666667,1275,364
"Control",5,21.8533333333333,811,363
"EXAm",1,21.9166666666667,1135,310
"EXAm",2,21.4133333333333,694,237
"EXAm",3,21.4766666666667,588,296
"EXAm",4,22.3366666666667,931,260
"EXAm",5,22.03,895,398
"Infes",1,14.9766666666667,805,237
"Infes",2,17.5333333333333,694,237
"Infes",3,17.68,810,247
"Infes",4,16.8166666666667,823,457
"Infes",5,16.5266666666667,1038,282
"Infes+EXAm",1,17.5966666666667,775,251
"Infes+EXAm",2,19.6,922,221
"Infes+EXAm",3,19.31,818,325
"Infes+EXAm",4,19.57,763,304
"Infes+EXAm",5,20.7666666666667,1038,333
"Infes+Captan",1,12.79,775,251
"Infes+Captan",2,18.7766666666667,878,237
"Infes+Captan",3,16.9133333333333,810,243
"Infes+Captan",4,20.0433333333333,834,334
"Infes+Captan",5,18.6333333333333,1438,424
