"Day","Treatment","Block","Samples","H202","MDA","Superoxide anion"
45,"EXAm",1,1,1.701834,48.9316129032258,2.80414238778567
45,"EXAm",2,2,1.821142,44.8418064516129,2.97067521863072
45,"EXAm",3,3,1.872274,46.5945806451613,2.9587800164275
45,"EXAm",4,4,1.105294,43.3811612903226,2.9587800164275
45,"EXAm",5,5,1.139382,37.1003870967742,2.89930400541141
45,"Infes+EXAm",1,6,1.752966,58.864,3.61301613760448
45,"Infes+EXAm",2,7,2.911958,61.9313548387097,3.96987220370102
45,"Infes+EXAm",3,8,2.775606,25.8534193548387,3.56543532879161
45,"Infes+EXAm",4,9,2.605166,46.3024516129032,3.57733053099483
45,"Infes+EXAm",5,10,1.395042,53.1674838709677,3.60112093540127
45,"Infes+Captan",1,11,1.889318,56.6730322580645,5.38540126588394
45,"Infes+Captan",2,12,1.59957,67.773935483871,4.4218898874233
45,"Infes+Captan",3,13,1.787054,99.469935483871,4.77874595351983
45,"Infes+Captan",4,14,1.275734,47.6170322580645,5.24265883944533
45,"Infes+Captan",5,15,2.468814,49.0776774193548,4.71926994250374
45,"Infes",1,16,1.821142,66.1672258064516,4.58842271826835
45,"Infes",2,17,3.116486,59.4482580645161,4.5527371116587
45,"Infes",3,18,2.997178,38.5610322580645,4.65979393148765
45,"Infes",4,19,2.571078,58.571870967742,5.38540126588394
45,"Infes",5,20,2.264286,60.4707096774193,5.50435328791612
45,"Control",1,21,2.076802,91.1442580645161,4.27914746098468
45,"Control",2,22,3.150574,76.3917419354838,3.50595931777552
45,"Control",3,23,2.690386,56.2348387096774,3.9579770014978
45,"Control",4,24,2.162022,61.6392258064516,3.57733053099483
45,"Control",5,25,1.923406,53.6056774193548,4.04124341692033
60,"EXAm",1,26,0.83259,63.392,3.17289365608542
60,"EXAm",2,27,0.525798,68.9424516129032,3.2918456781176
60,"EXAm",3,28,0.49171,46.4485161290322,3.01825602744359
60,"EXAm",4,29,0.57693,25.5612903225806,3.24426486930473
60,"EXAm",5,30,0.611018,29.7971612903226,2.86361839880176
60,"Infes+EXAm",1,31,2.502902,94.7958709677419,3.9579770014978
60,"Infes+EXAm",2,32,1.787054,59.7403870967742,3.88660578827849
60,"Infes+EXAm",3,33,1.071206,66.8975483870968,3.70817775523023
60,"Infes+EXAm",4,34,1.17347,48.7855483870968,4.07692902352998
60,"Infes+EXAm",5,35,0.49171,49.5158709677419,4.02934821471711
60,"Infes+Captan",1,36,1.34391,75.6614193548387,4.45757549403295
60,"Infes+Captan",2,37,0.49171,59.5943225806452,4.10071942793642
60,"Infes+Captan",3,38,0.66215,35.7858064516129,4.39809948301686
60,"Infes+Captan",4,39,0.66215,56.0887741935484,3.68438735082379
60,"Infes+Captan",5,40,0.49171,61.3470967741935,3.44648330675943
60,"Infes",1,41,1.224602,109.110193548387,4.39809948301686
60,"Infes",2,42,1.037118,81.357935483871,3.87471058607528
60,"Infes",3,43,0.764414,46.0103225806452,3.39890249794656
60,"Infes",4,44,1.105294,47.1788387096774,3.61301613760448
60,"Infes",5,45,0.934854,64.7065806451613,3.47027371116587
60,"Control",1,46,0.525798,51.2686451612903,3.07773203845968
60,"Control",2,47,0.781458,36.5161290322581,3.12531284727255
60,"Control",3,48,0.628062,50.1001290322581,3.00636082524037
60,"Control",4,49,0.49171,48.0552258064516,3.24426486930473
60,"Control",5,50,0.628062,53.0214193548387,3.00636082524037
75,"EXAm",1,51,0.457622,62.0774193548387,3.31563608252404
75,"EXAm",2,52,0.49171,51.7068387096774,3.12531284727255
75,"EXAm",3,53,0.57693,84.1331612903226,3.24426486930473
75,"EXAm",4,54,0.457622,80.7736774193548,3.2918456781176
75,"EXAm",5,55,0.457622,75.0771612903226,3.11341764506933
75,"Infes+EXAm",1,56,0.900766,70.2570322580645,2.97067521863072
75,"Infes+EXAm",2,57,0.91781,72.0098064516129,2.81603758998889
75,"Infes+EXAm",3,58,0.713282,75.9535483870967,3.24426486930473
75,"Infes+EXAm",4,59,0.559886,31.549935483871,3.39890249794656
75,"Infes+EXAm",5,60,0.593974,61.3470967741935,3.23236966710151
75,"Infes+Captan",1,61,0.457622,100.638451612903,2.66139996134705
75,"Infes+Captan",2,62,0.764414,69.9649032258065,2.83982799439532
75,"Infes+Captan",3,63,0.372402,52.8753548387097,2.79224718558245
75,"Infes+Captan",4,64,0.457622,53.8978064516129,3.2918456781176
75,"Infes+Captan",5,65,0.593974,31.1117419354839,3.37511209354013
75,"Infes",1,66,1.139382,44.9878709677419,5.02854519978741
75,"Infes",2,67,1.054162,96.5486451612903,4.24346185437503
75,"Infes",3,68,0.883722,40.898064516129,4.43378508962652
75,"Infes",4,69,1.054162,54.482064516129,4.43378508962652
75,"Infes",5,70,0.764414,63.6841290322581,4.31483306759434
75,"Control",1,71,0.49171,75.5153548387097,3.60112093540127
75,"Control",2,72,0.525798,43.9654193548387,4.19588104556216
75,"Control",3,73,0.645106,47.4709677419354,3.422692902353
75,"Control",4,74,0.423534,75.8074838709678,3.24426486930473
75,"Control",5,75,0.611018,82.3803870967742,3.45837850896265
90,"EXAm",1,76,0.525798,76.3917419354839,3.31563608252404
90,"EXAm",2,77,0.934854,67.773935483871,3.36321689133691
90,"EXAm",3,78,0.559886,50.9765161290323,3.36321689133691
90,"EXAm",4,79,0.40649,75.9535483870968,3.50595931777552
90,"EXAm",5,80,0.798502,52.2910967741935,2.91119920761463
90,"Infes+EXAm",1,81,0.815546,74.2007741935484,2.99446562303716
90,"Infes+EXAm",2,82,0.83259,28.0443870967742,2.94688481422428
90,"Infes+EXAm",3,83,0.66215,83.2567741935484,3.00636082524037
90,"Infes+EXAm",4,84,0.49171,41.6283870967742,3.00636082524037
90,"Infes+EXAm",5,85,0.645106,52.7292903225806,2.94688481422428
90,"Infes+Captan",1,86,0.474666,78.2905806451613,4.13640503454607
90,"Infes+Captan",2,87,0.389446,72.8861935483871,4.11261463013963
90,"Infes+Captan",3,88,0.457622,70.8412903225806,4.14830023674929
90,"Infes+Captan",4,89,0.525798,52.2910967741935,3.9579770014978
90,"Infes+Captan",5,90,0.628062,105.60464516129,3.79144417065275
90,"Infes",1,91,0.781458,79.3130322580645,4.31483306759434
90,"Infes",2,92,0.83259,50.5383225806452,4.45757549403295
90,"Infes",3,93,0.934854,40.752,4.19588104556216
90,"Infes",4,94,0.815546,46.5945806451613,4.38620428081364
90,"Infes",5,95,0.83259,49.2237419354839,4.16019543895251
90,"Control",1,96,0.389446,57.2572903225806,3.27995047591438
90,"Control",2,97,0.645106,85.7398709677419,2.97067521863072
90,"Control",3,98,0.628062,98.0092903225807,2.97067521863072
90,"Control",4,99,0.611018,91.5824516129032,2.87551360100498
90,"Control",5,100,0.645106,82.6725161290323,3.24426486930473
105,"EXAm",1,101,0.883722,58.5718709677419,3.10152244286612
105,"EXAm",2,102,1.037118,59.0100645161291,3.03015122964681
105,"EXAm",3,103,0.900766,57.9876129032258,3.06583683625646
105,"EXAm",4,104,0.508754,53.4596129032258,2.94688481422428
105,"EXAm",5,105,0.474666,55.0663225806452,2.89930400541141
105,"Infes+EXAm",1,106,0.866678,110.570838709677,3.1609984538822
105,"Infes+EXAm",2,107,0.798502,109.256258064516,3.36321689133691
105,"Infes+EXAm",3,108,0.696238,73.9086451612903,3.19668406049186
105,"Infes+EXAm",4,109,0.645106,63.392,3.14910325167899
105,"Infes+EXAm",5,110,0.730326,49.954064516129,3.13720804947577
105,"Infes+Captan",1,111,0.440578,83.6949677419355,3.00636082524037
105,"Infes+Captan",2,112,0.49171,69.0885161290322,3.17289365608542
105,"Infes+Captan",3,113,0.542842,NA,3.0896272406629
105,"Infes+Captan",4,114,0.628062,120.649290322581,2.94688481422428
105,"Infes+Captan",5,115,0.57693,94.3576774193548,3.18478885828864
105,"Infes",1,116,1.906362,90.1218064516129,3.1609984538822
105,"Infes",2,117,1.838186,85.3016774193548,3.39890249794656
105,"Infes",3,118,1.59957,69.3806451612903,3.00636082524037
105,"Infes",4,119,1.85523,60.1785806451613,2.91119920761463
105,"Infes",5,120,1.974538,72.594064516129,2.97067521863072
105,"Control",1,121,0.900766,51.8529032258065,3.69628255302701
105,"Control",2,122,0.593974,71.4255483870968,3.56543532879161
105,"Control",3,123,0.815546,42.7969032258064,3.39890249794656
105,"Control",4,124,0.593974,99.908129032258,3.33942648693047
105,"Control",5,125,0.83259,53.7517419354839,3.19668406049186
